,total_distance,beds_changed,not_ideal,status,objective_1,objective_2,objective_3,objective_4,w1,w2,w3,w4
0,8635,2,200,2,8635.0,4.0,200.0,2.0,1,1,10,31
1,8645,1,202,2,8645.0,2.0,202.0,1.0,1,1,10,33
2,8525,1,214,2,8525.0,2.0,214.0,1.0,1,1,10,35
3,8645,1,202,2,8645.0,2.0,202.0,1.0,1,1,10,37
4,8765,1,190,2,8765.0,2.0,190.0,1.0,1,1,10,39
5,8645,1,202,2,8645.0,2.0,202.0,1.0,1,1,10,41
6,9220,2,154,2,9220.0,4.0,154.0,2.0,1,1,15,31
7,9145,2,159,2,9145.0,4.0,159.0,2.0,1,1,15,33
8,9220,2,154,2,9219.99976186745,3.9999983372584085,154.00001515840404,2.0000000004683787,1,1,15,35
9,9400,2,142,2,9400.0,4.0,142.0,2.0,1,1,15,37
10,8995,2,169,2,8995.0,4.0,169.0,2.0,1,1,15,39
11,9220,2,154,2,9220.0,4.0,154.0,2.0,1,1,15,41
12,9935,2,108,2,9935.0,11.0,108.0,2.0,1,1,20,31
13,9935,2,108,2,9935.0,11.0,108.0,2.0,1,1,20,33
14,9935,2,108,2,9935.0,11.0,108.0,2.0,1,1,20,35
15,9935,2,108,2,9935.0,11.0,108.0,2.0,1,1,20,37
16,9935,2,108,2,9935.0,11.0,108.0,2.0,1,1,20,39
17,9935,2,108,2,9935.0,11.0,108.0,2.0,1,1,20,41
18,9935,2,108,2,9935.0,11.0,108.0,2.0,1,1,25,31
19,9935,2,108,2,9935.0,11.0,108.0,2.0,1,1,25,33
20,9935,2,108,2,9935.0,11.0,108.0,2.0,1,1,25,35
21,9935,2,108,2,9935.0,11.0,108.0,2.0,1,1,25,37
22,9935,2,108,2,9935.0,11.0,108.0,2.0,1,1,25,39
23,9935,2,108,2,9935.0,11.0,108.0,2.0,1,1,25,41
24,9935,2,108,2,9935.0,11.0,108.0,2.0,1,1,30,31
25,9935,2,108,2,9935.0,11.0,108.0,2.0,1,1,30,33
26,10115,2,102,2,10115.0,11.0,102.0,2.0,1,1,30,35
27,9935,2,108,2,9935.0,11.0,108.0,2.0,1,1,30,37
28,9935,2,108,2,9935.0,11.0,108.0,2.0,1,1,30,39
29,9935,2,108,2,9935.0,11.0,108.0,2.0,1,1,30,41
30,8755,2,188,2,8755.0,4.0,188.0,2.0,1,3,10,31
31,8755,2,188,2,8755.0,4.0,188.0,2.0,1,3,10,33
32,8635,2,200,2,8635.0,4.0,200.0,2.0,1,3,10,35
33,8645,1,202,2,8645.0,2.0,202.0,1.0,1,3,10,37
34,8645,1,202,2,8645.0,2.0,202.0,1.0,1,3,10,39
35,8645,1,202,2,8645.0,2.0,202.0,1.0,1,3,10,41
36,9125,3,159,2,9125.0,10.0,159.0,3.0,1,3,15,31
37,9125,3,159,2,9125.0,10.0,159.0,3.0,1,3,15,33
38,9305,3,147,2,9305.0,10.0,147.0,3.0,1,3,15,35
39,8975,3,169,2,8975.0,10.0,169.0,3.0,1,3,15,37
40,9145,2,159,2,9145.0,4.0,159.0,2.0,1,3,15,39
41,9145,2,159,2,9145.0,4.0,159.0,2.0,1,3,15,41
42,9935,2,108,2,9935.0,11.0,108.0,2.0,1,3,20,31
43,9935,2,108,2,9935.0,11.0,108.0,2.0,1,3,20,33
44,9935,2,108,2,9934.999984084134,11.00000040557351,108.00000023435581,2.000000018450893,1,3,20,35
