,total_distance,beds_changed,not_ideal,status,objective_1,objective_2,objective_3,w1,w2,w3
0,9935,2,108,2,9935.0,5.0,108.0,1,5,20
1,9935,2,108,2,9935.0,5.0,108.0,1,5,25
2,9935,2,108,2,9935.0,5.0,108.0,1,5,30
3,10385,3,93,2,10385.0,6.0,93.0,1,5,35
4,10920,4,79,2,10919.999779624322,8.000000321877842,79.00000001374394,1,5,40
5,10895,5,79,2,10895.0,12.0,79.0,1,5,45
6,10895,5,79,2,10895.0,12.0,79.0,1,5,50
7,9935,2,108,2,9935.0,5.0,108.0,1,4,20
8,9935,2,108,2,9935.0,5.0,108.0,1,4,25
9,9935,2,108,2,9935.0,5.0,108.0,1,4,30
10,10385,3,93,2,10385.0,6.0,93.0,1,4,35
11,10895,5,79,2,10895.0,12.0,79.0,1,4,40
12,10895,5,79,2,10895.0,12.0,79.0,1,4,45
13,10895,5,79,2,10895.0,12.0,79.0,1,4,50
14,9845,3,111,2,9845.0,14.0,111.0,1,3,20
15,9935,2,108,2,9935.0,5.0,108.0,1,3,25
16,9935,2,108,2,9935.0,5.0,108.0,1,3,30
17,10385,3,93,2,10385.0,6.0,93.0,1,3,35
18,10885,6,79,2,10885.0,14.0,79.0,1,3,40
19,10885,6,79,2,10885.000000000764,13.999999161122208,79.0,1,3,45
20,10885,6,79,2,10885.0,14.0,79.0,1,3,50
21,9845,3,111,2,9845.0,14.0,111.0,1,2,20
22,9935,2,108,2,9935.0,5.0,108.0,1,2,25
23,10115,2,102,2,10115.0,5.0,102.0,1,2,30
24,10385,3,93,2,10385.0,6.0,93.0,1,2,35
25,10885,6,79,2,10885.0,14.0,79.0,1,2,40
26,10885,6,79,2,10885.0,14.0,79.0,1,2,45
27,11120,7,74,2,11120.0,19.0,74.0,1,2,50
28,9845,3,111,2,9845.0,14.0,111.0,1,1,20
29,9845,3,111,2,9845.0,14.0,111.0,1,1,25
30,9935,2,108,2,9935.0,5.0,108.0,1,1,30
31,10385,3,93,2,10384.999999903815,6.000000065145887,93.0,1,1,35
32,10885,6,79,2,10885.0,14.0,79.0,1,1,40
33,10885,6,79,2,10885.0,14.0,79.0,1,1,45
34,11115,8,74,2,11115.0,22.0,74.0,1,1,50
35,9845,15,111,2,9845.0,62.0,111.0,1,0,20
36,9845,19,111,2,9845.0,84.0,111.0,1,0,25
37,10205,18,99,2,10205.0,71.0,99.0,1,0,30
38,10620,16,86,2,10620.0,52.0,86.0,1,0,35
39,10885,18,79,2,10885.0,72.0,79.0,1,0,40
40,10885,16,79,2,10885.0,72.0,79.0,1,0,45
41,11115,19,74,2,11115.0,71.0,74.0,1,0,50
