w1: 1, w2: 50, w3: 60, total_distance=12360, beds_changed=0, not_ideal=57

w1: 1, w2: 50, w3: 55, total_distance=11700, beds_changed=0, not_ideal=69

w1: 1, w2: 50, w3: 50, total_distance=11700, beds_changed=0, not_ideal=69

w1: 1, w2: 50, w3: 45, total_distance=10670, beds_changed=0, not_ideal=91

w1: 1, w2: 50, w3: 40, total_distance=10670, beds_changed=0, not_ideal=91

w1: 1, w2: 50, w3: 35, total_distance=10375, beds_changed=0, not_ideal=99

w1: 1, w2: 50, w3: 30, total_distance=10065, beds_changed=0, not_ideal=108

w1: 1, w2: 50, w3: 25, total_distance=10065, beds_changed=0, not_ideal=108

w1: 1, w2: 50, w3: 20, total_distance=9920, beds_changed=0, not_ideal=115

w1: 1, w2: 50, w3: 15, total_distance=9485, beds_changed=0, not_ideal=144

w1: 1, w2: 50, w3: 10, total_distance=8650, beds_changed=0, not_ideal=209

w1: 1, w2: 45, w3: 60, total_distance=12360, beds_changed=0, not_ideal=57

w1: 1, w2: 45, w3: 55, total_distance=11700, beds_changed=0, not_ideal=69

w1: 1, w2: 45, w3: 50, total_distance=11700, beds_changed=0, not_ideal=69

w1: 1, w2: 45, w3: 45, total_distance=10670, beds_changed=0, not_ideal=91

w1: 1, w2: 45, w3: 40, total_distance=10670, beds_changed=0, not_ideal=91

w1: 1, w2: 45, w3: 35, total_distance=10375, beds_changed=0, not_ideal=99

w1: 1, w2: 45, w3: 30, total_distance=10065, beds_changed=0, not_ideal=108

w1: 1, w2: 45, w3: 25, total_distance=10065, beds_changed=0, not_ideal=108

w1: 1, w2: 45, w3: 20, total_distance=9920, beds_changed=0, not_ideal=115

w1: 1, w2: 45, w3: 15, total_distance=9380, beds_changed=0, not_ideal=151

w1: 1, w2: 45, w3: 10, total_distance=8650, beds_changed=0, not_ideal=209

w1: 1, w2: 40, w3: 60, total_distance=12360, beds_changed=0, not_ideal=57

w1: 1, w2: 40, w3: 55, total_distance=11700, beds_changed=0, not_ideal=69

